ZIP,Year,earned_premium,earned_exposure,cat_fire_losses,noncat_fire_losses,CAT Cov A Smoke -  Incurred Losses,Non-CAT Cov A Smoke -  Incurred Losses,avg_fire_risk_score,avg_ppc,total_population,median_income,year_norm,year_sin,year_cos,premium_rolling_mean
90014,2019,163779,798.28,0,0,0,0,0.1825,1.0525,9540.0,33822.0,1,1.0,6.123233995736766e-17,105849.0
90014,2020,354114,1631.0,0,0,0,0,0.14833333333333332,,9540.0,33822.0,2,1.2246467991473532e-16,-1.0,134814.0
90014,2021,395720,1715.0,0,0,0,0,0.27166666666666667,,9540.0,33822.0,3,-1.0,-1.8369701987210297e-16,207914.0
90015,2018,565551,1387.94,0,0,0,0,0.22199999999999998,1.075,25257.0,63211.0,0,0.0,1.0,0.0
90015,2019,742030,2084.1,0,0,0,0,0.192,1.042,25257.0,63211.0,1,1.0,6.123233995736766e-17,565551.0
90015,2020,1396559,4617.0,0,0,0,26909,0.2416666666666667,,25257.0,63211.0,2,1.2246467991473532e-16,-1.0,653790.5
90015,2021,1585960,4979.0,0,12489,0,0,0.3116666666666667,,25257.0,63211.0,3,-1.0,-1.8369701987210297e-16,901380.0
90016,2018,2668972,3970.67,0,105837,0,0,0.147,1.078,46102.0,71067.0,0,0.0,1.0,0.0
90016,2019,2940982,4236.44,0,271192,0,0,0.124,1.068,46102.0,71067.0,1,1.0,6.123233995736766e-17,2668972.0
90016,2020,4215646,6365.0,17056,562616,10944,9320,0.26333333333333336,,46102.0,71067.0,2,1.2246467991473532e-16,-1.0,2804977.0
90016,2021,4611492,6589.0,77499,0,9295,0,0.2916666666666667,,46102.0,71067.0,3,-1.0,-1.8369701987210297e-16,3275200.0
90017,2018,261703,1045.31,0,2345,0,0,0.209,1.052,28981.0,51317.0,0,0.0,1.0,0.0
90017,2019,340863,1586.83,0,0,0,0,0.121,1.0070000000000001,28981.0,51317.0,1,1.0,6.123233995736766e-17,261703.0
90017,2020,646922,3037.0,0,0,0,0,0.18666666666666668,,28981.0,51317.0,2,1.2246467991473532e-16,-1.0,301283.0
90017,2021,778139,3408.0,0,6224,0,0,0.25166666666666665,,28981.0,51317.0,3,-1.0,-1.8369701987210297e-16,416496.0
90018,2018,2569450,3851.81,414306,715347,0,0,0.17400000000000002,1.05,48812.0,63671.0,0,0.0,1.0,0.0
90018,2019,2797797,4045.9399999999996,0,362396,0,0,0.11400000000000002,1.042,48812.0,63671.0,1,1.0,6.123233995736766e-17,2569450.0
90018,2020,3892378,5669.0,3952,1247023,20755,0,0.285,,48812.0,63671.0,2,1.2246467991473532e-16,-1.0,2683623.5
90018,2021,4236611,5792.0,1666,777874,0,0,0.29333333333333333,,48812.0,63671.0,3,-1.0,-1.8369701987210297e-16,3086541.6666666665
90019,2018,4022867,4337.65,0,329003,0,0,0.23899999999999996,1.082,59288.0,71395.0,0,0.0,1.0,0.0
90019,2019,4439519,4699.43,0,326903,0,0,0.191,1.061,59288.0,71395.0,1,1.0,6.123233995736766e-17,4022867.0
90019,2020,6430645,7626.0,0,721581,0,159,0.435,,59288.0,71395.0,2,1.2246467991473532e-16,-1.0,4231193.0
90019,2021,7065453,7825.0,0,717000,0,0,0.48,,59288.0,71395.0,3,-1.0,-1.8369701987210297e-16,4964343.666666667
90020,2018,1574655,1015.23,0,0,0,0,0.30100000000000005,1.08,38361.0,55832.0,0,0.0,1.0,0.0
90020,2019,1693825,1317.59,0,0,0,0,0.24700000000000003,1.066,38361.0,55832.0,1,1.0,6.123233995736766e-17,1574655.0
90020,2020,2521961,3240.0,0,11276,0,0,0.3116666666666667,,38361.0,55832.0,2,1.2246467991473532e-16,-1.0,1634240.0
90020,2021,2849606,3488.0,0,9485,0,0,0.365,,38361.0,55832.0,3,-1.0,-1.8369701987210297e-16,1930147.0
90021,2018,42485,83.41,0,0,0,0,0.267,1.1030000000000002,3152.0,32250.0,0,0.0,1.0,0.0
90021,2019,44268,91.65,0,0,0,0,0.19899999999999998,1.044,3152.0,32250.0,1,1.0,6.123233995736766e-17,42485.0
90021,2020,107876,270.0,0,0,0,0,0.22666666666666666,,3152.0,32250.0,2,1.2246467991473532e-16,-1.0,43376.5
90021,2021,145788,404.0,0,0,0,0,0.2916666666666667,,3152.0,32250.0,3,-1.0,-1.8369701987210297e-16,64876.333333333336
90022,2018,1960487,5227.06,0,49271,0,0,0.076,2.636,61638.0,67829.0,0,0.0,1.0,0.0
90022,2019,2153573,5516.98,0,336615,0,0,0.09,2.166,61638.0,67829.0,1,1.0,6.123233995736766e-17,1960487.0
90022,2020,2928251,7114.0,0,421988,92629,5004,0.39666666666666667,,61638.0,67829.0,2,1.2246467991473532e-16,-1.0,2057030.0
90022,2021,3239625,7201.0,0,441800,0,0,0.395,,61638.0,67829.0,3,-1.0,-1.8369701987210297e-16,2347437.0
90023,2018,1288237,3536.28,0,333279,0,0,0.11499999999999999,1.6375,44608.0,56623.0,0,0.0,1.0,0.0
90023,2019,1394194,3678.9500000000003,0,323948,0,0,0.1225,1.4325,44608.0,56623.0,1,1.0,6.123233995736766e-17,1288237.0
90023,2020,1810473,4558.0,0,496737,0,0,0.38166666666666665,,44608.0,56623.0,2,1.2246467991473532e-16,-1.0,1341215.5
90023,2021,1980048,4578.0,0,320357,0,0,0.21999999999999997,,44608.0,56623.0,3,-1.0,-1.8369701987210297e-16,1497634.6666666667
90024,2018,5403071,2654.67,0,28948,0,0,0.404,1.1320000000000001,50830.0,79994.0,0,0.0,1.0,0.0
90024,2019,5629259,3109.01,0,7217,0,0,0.36300000000000004,1.097,50830.0,79994.0,1,1.0,6.123233995736766e-17,5403071.0
90024,2020,8435049,6787.0,0,239238,0,0,0.37000000000000005,,50830.0,79994.0,2,1.2246467991473532e-16,-1.0,5516165.0
90024,2021,9522368,7303.0,0,0,0,0,0.45999999999999996,,50830.0,79994.0,3,-1.0,-1.8369701987210297e-16,6489126.333333333
90025,2018,2043813,3028.87,0,0,0,0,0.209,1.068,45238.0,104627.0,0,0.0,1.0,0.0
90025,2019,2337888,3624.67,0,0,0,0,0.184,1.06,45238.0,104627.0,1,1.0,6.123233995736766e-17,2043813.0
90025,2020,4248126,8163.0,0,186738,0,91954,0.31,,45238.0,104627.0,2,1.2246467991473532e-16,-1.0,2190850.5
90025,2021,4757834,8755.0,0,277393,0,0,0.37666666666666665,,45238.0,104627.0,3,-1.0,-1.8369701987210297e-16,2876609.0
90026,2018,3653361,5243.41,0,100640,0,0,0.2658333333333333,1.04,62902.0,85835.0,0,0.0,1.0,0.0
90026,2019,4006422,5720.74,0,698481,0,0,0.277,1.041,62902.0,85835.0,1,1.0,6.123233995736766e-17,3653361.0
90026,2020,5988596,9296.0,0,492923,0,0,0.31,,62902.0,85835.0,2,1.2246467991473532e-16,-1.0,3829891.5
90026,2021,6638904,9594.0,0,51479,0,32734,0.3733333333333333,,62902.0,85835.0,3,-1.0,-1.8369701987210297e-16,4549459.666666667
90027,2018,4237354,3324.52,0,10935,0,0,0.38083333333333336,1.1158333333333335,46049.0,90532.0,0,0.0,1.0,0.0
90027,2019,4743082,3670.95,0,285600,0,0,0.3583333333333334,1.0466666666666666,46049.0,90532.0,1,1.0,6.123233995736766e-17,4237354.0
90027,2020,7468566,7109.0,196593,128471,12953,0,0.5233333333333333,,46049.0,90532.0,2,1.2246467991473532e-16,-1.0,4490218.0
90027,2021,8520369,7469.0,0,72064,35460,11775,0.62,,46049.0,90532.0,3,-1.0,-1.8369701987210297e-16,5483000.666666667
90028,2018,589020,1629.8500000000001,0,4257,0,0,0.277,1.08,31441.0,59393.0,0,0.0,1.0,0.0
90028,2019,742913,2231.5699999999997,0,248150,0,0,0.22400000000000003,1.066,31441.0,59393.0,1,1.0,6.123233995736766e-17,589020.0
90028,2020,1210572,4293.0,0,765854,0,0,0.29833333333333334,,31441.0,59393.0,2,1.2246467991473532e-16,-1.0,665966.5
90028,2021,1414087,4833.0,0,0,0,0,0.34,,31441.0,59393.0,3,-1.0,-1.8369701987210297e-16,847501.6666666666
90029,2018,888256,1582.6,0,1430823,0,0,0.192,1.042,33830.0,60793.0,0,0.0,1.0,0.0
90029,2019,985909,1754.43,0,418468,0,6773,0.135,1.036,33830.0,60793.0,1,1.0,6.123233995736766e-17,888256.0
90029,2020,1470989,3055.0,0,35131,0,0,0.29,,33830.0,60793.0,2,1.2246467991473532e-16,-1.0,937082.5
90029,2021,1630424,3188.0,0,335000,0,0,0.36833333333333335,,33830.0,60793.0,3,-1.0,-1.8369701987210297e-16,1115051.3333333333
90031,2018,1386272,2818.76,0,0,0,0,0.621,1.0390000000000001,36881.0,62119.0,0,0.0,1.0,0.0
90031,2019,1561730,2969.85,0,2922,0,0,0.612,1.036,36881.0,62119.0,1,1.0,6.123233995736766e-17,1386272.0
90031,2020,2358981,4395.0,381866,26459,3320,0,0.5833333333333334,,36881.0,62119.0,2,1.2246467991473532e-16,-1.0,1474001.0
90031,2021,2694989,4502.0,0,122148,7617,0,0.5883333333333334,,36881.0,62119.0,3,-1.0,-1.8369701987210297e-16,1768994.3333333333
90032,2018,1864939,3621.64,0,446844,0,0,0.48200000000000004,1.098,43724.0,81563.0,0,0.0,1.0,0.0
90032,2019,2151517,3860.31,0,227292,0,0,0.44399999999999995,1.0870000000000002,43724.0,81563.0,1,1.0,6.123233995736766e-17,1864939.0
90032,2020,3364356,5988.0,12250,40475,35140,0,0.49833333333333335,,43724.0,81563.0,2,1.2246467991473532e-16,-1.0,2008228.0
90032,2021,3722228,6060.0,152308,34042,0,0,0.52,,43724.0,81563.0,3,-1.0,-1.8369701987210297e-16,2460270.6666666665
90033,2018,1126869,2579.18,0,113845,0,0,0.15,1.05,46540.0,56001.0,0,0.0,1.0,0.0
90033,2019,1232310,2686.04,0,192148,0,0,0.1075,1.0525,46540.0,56001.0,1,1.0,6.123233995736766e-17,1126869.0
90033,2020,1661908,3668.0,0,635794,0,0,0.3833333333333333,,46540.0,56001.0,2,1.2246467991473532e-16,-1.0,1179589.5
90033,2021,1803531,3683.0,0,503388,0,24218,0.32,,46540.0,56001.0,3,-1.0,-1.8369701987210297e-16,1340362.3333333333
90034,2018,2731474,3718.16,24831,451,0,0,0.20800000000000002,1.048,55120.0,103082.0,0,0.0,1.0,0.0
90034,2019,3077001,4194.52,0,0,0,0,0.192,1.041,55120.0,103082.0,1,1.0,6.123233995736766e-17,2731474.0
90034,2020,4583528,7614.0,0,52135,0,0,0.26666666666666666,,55120.0,103082.0,2,1.2246467991473532e-16,-1.0,2904237.5
90034,2021,5092690,8004.0,0,117583,0,0,0.2966666666666667,,55120.0,103082.0,3,-1.0,-1.8369701987210297e-16,3464001.0
90035,2018,2959727,2691.4,0,0,0,0,0.248,1.09,27851.0,108224.0,0,0.0,1.0,0.0
90035,2019,3293519,2894.5,0,0,0,0,0.21600000000000003,1.068,27851.0,108224.0,1,1.0,6.123233995736766e-17,2959727.0
90035,2020,4966196,5116.0,0,88590,0,0,0.27999999999999997,,27851.0,108224.0,2,1.2246467991473532e-16,-1.0,3126623.0
90035,2021,5526485,5406.0,0,163280,0,0,0.33166666666666667,,27851.0,108224.0,3,-1.0,-1.8369701987210297e-16,3739814.0
90036,2018,3560659,3005.04,0,0,0,0,0.259,1.065,38784.0,102877.0,0,0.0,1.0,0.0
90036,2019,3965310,3554.2999999999997,0,580301,0,0,0.21000000000000002,1.0530000000000002,38784.0,102877.0,1,1.0,6.123233995736766e-17,3560659.0
90036,2020,5553713,6886.0,0,0,0,0,0.265,,38784.0,102877.0,2,1.2246467991473532e-16,-1.0,3762984.5
90036,2021,6102320,7145.0,0,228241,0,12174,0.3183333333333333,,38784.0,102877.0,3,-1.0,-1.8369701987210297e-16,4359894.0
90037,2018,2374463,4512.65,99532,522521,0,0,0.2233333333333333,1.0416666666666667,67895.0,56417.0,0,0.0,1.0,0.0
90037,2019,2574428,4706.49,51000,590281,0,0,0.164,1.06,67895.0,56417.0,1,1.0,6.123233995736766e-17,2374463.0
90037,2020,3204820,5761.0,0,679390,51439,0,0.29833333333333334,,67895.0,56417.0,2,1.2246467991473532e-16,-1.0,2474445.5
90037,2021,3475387,5772.0,30564,989884,0,0,0.3333333333333333,,67895.0,56417.0,3,-1.0,-1.8369701987210297e-16,2717903.6666666665
90038,2018,761367,1345.6399999999999,0,0,0,0,0.266,1.082,27807.0,61566.0,0,0.0,1.0,0.0
90038,2019,850523,1590.49,0,457956,0,0,0.211,1.072,27807.0,61566.0,1,1.0,6.123233995736766e-17,761367.0
90038,2020,1336633,3059.0,0,131364,0,0,0.25666666666666665,,27807.0,61566.0,2,1.2246467991473532e-16,-1.0,805945.0
90038,2021,1549960,3529.0,0,252671,0,0,0.30166666666666664,,27807.0,61566.0,3,-1.0,-1.8369701987210297e-16,982841.0
90039,2018,2757886,3514.32,0,405781,0,0,0.317,1.054,28572.0,105578.0,0,0.0,1.0,0.0
90039,2019,3122479,3768.28,0,219691,0,0,0.284,1.046,28572.0,105578.0,1,1.0,6.123233995736766e-17,2757886.0
90039,2020,4746439,6029.0,0,280582,25093,0,0.35333333333333333,,28572.0,105578.0,2,1.2246467991473532e-16,-1.0,2940182.5
90039,2021,5314646,6209.0,0,706319,0,0,0.4333333333333333,,28572.0,105578.0,3,-1.0,-1.8369701987210297e-16,3542268.0
90040,2018,411081,981.68,0,234864,0,0,0.16599999999999998,2.5759999999999996,11683.0,70909.0,0,0.0,1.0,0.0
90040,2019,471176,1033.8,0,0,0,0,0.154,1.972,11683.0,70909.0,1,1.0,6.123233995736766e-17,411081.0
90040,2020,694820,1465.0,8413,278242,30773,0,0.33,,11683.0,70909.0,2,1.2246467991473532e-16,-1.0,441128.5
90040,2021,749637,1506.0,0,45225,0,0,0.3516666666666666,,11683.0,70909.0,3,-1.0,-1.8369701987210297e-16,525692.3333333334
90041,2018,2103866,2621.73,0,0,0,0,0.546,1.056,27351.0,111834.0,0,0.0,1.0,0.0
90041,2019,2403401,2800.74,6968,1042,0,0,0.485,1.048,27351.0,111834.0,1,1.0,6.123233995736766e-17,2103866.0
90041,2020,3820982,4567.0,27210,183744,14938,0,0.5383333333333333,,27351.0,111834.0,2,1.2246467991473532e-16,-1.0,2253633.5
90041,2021,4277275,4654.0,0,374575,0,0,0.615,,27351.0,111834.0,3,-1.0,-1.8369701987210297e-16,2776083.0
90042,2018,3192488,5232.03,0,318367,0,0,1.1183333333333334,1.0716666666666665,58344.0,94401.0,0,0.0,1.0,0.0
90042,2019,3570573,5570.57,0,332351,0,0,1.0833333333333333,1.0358333333333334,58344.0,94401.0,1,1.0,6.123233995736766e-17,3192488.0
90042,2020,5590001,9098.0,18370,744856,29296,0,0.9066666666666666,,58344.0,94401.0,2,1.2246467991473532e-16,-1.0,3381530.5
90042,2021,6263387,9271.0,2452,140678,0,6000,0.9816666666666668,,58344.0,94401.0,3,-1.0,-1.8369701987210297e-16,4117687.3333333335
90043,2018,3546789,4673.54,0,310606,0,0,0.185,1.318,43548.0,65496.0,0,0.0,1.0,0.0
90043,2019,4064754,5002.54,80000,734949,0,0,0.16799999999999998,1.224,43548.0,65496.0,1,1.0,6.123233995736766e-17,3546789.0
90043,2020,5614668,7004.0,241721,1282954,18130,0,0.2916666666666667,,43548.0,65496.0,2,1.2246467991473532e-16,-1.0,3805771.5
90043,2021,6084566,7047.0,0,1935518,0,9584,0.32,,43548.0,65496.0,3,-1.0,-1.8369701987210297e-16,4408737.0
90044,2018,3822030,7779.24,0,515396,0,0,0.24300000000000002,1.457,95859.0,51433.0,0,0.0,1.0,0.0
90044,2019,4210931,8145.240000000001,0,1014760,0,0,0.11600000000000002,1.4140000000000001,95859.0,51433.0,1,1.0,6.123233995736766e-17,3822030.0
90044,2020,5541798,10334.0,0,1587634,89597,0,0.4633333333333334,,95859.0,51433.0,2,1.2246467991473532e-16,-1.0,4016480.5
90044,2021,6091511,10387.0,0,1779626,0,5400,0.47500000000000003,,95859.0,51433.0,3,-1.0,-1.8369701987210297e-16,4524919.666666667
90045,2018,3065397,3726.2,0,138811,0,0,0.193,1.07,42352.0,132577.0,0,0.0,1.0,0.0
90045,2019,3477982,4108.13,0,12998,0,0,0.156,1.06,42352.0,132577.0,1,1.0,6.123233995736766e-17,3065397.0
90045,2020,6030965,7879.0,0,328625,0,0,0.30833333333333335,,42352.0,132577.0,2,1.2246467991473532e-16,-1.0,3271689.5
90045,2021,6647514,8085.0,0,179501,0,0,0.5099999999999999,,42352.0,132577.0,3,-1.0,-1.8369701987210297e-16,4191448.0
90046,2018,8694922,5699.28,0,471045,0,0,1.529,1.2690000000000001,48905.0,94259.0,0,0.0,1.0,0.0
90046,2019,9910685,6381.63,0,480287,0,0,1.494,1.244,48905.0,94259.0,1,1.0,6.123233995736766e-17,8694922.0
90046,2020,14911402,11362.0,0,502505,16507,0,1.2733333333333332,,48905.0,94259.0,2,1.2246467991473532e-16,-1.0,9302803.5
90046,2021,17496189,11984.0,161656,106644,0,0,1.275,,48905.0,94259.0,3,-1.0,-1.8369701987210297e-16,11172336.333333334
90047,2018,3580673,5844.96,0,341704,0,0,0.125,1.4075,50925.0,70187.0,0,0.0,1.0,0.0
90047,2019,4023960,6179.48,0,1132553,0,0,0.088,1.236,50925.0,70187.0,1,1.0,6.123233995736766e-17,3580673.0
90047,2020,5345427,8249.0,0,1004705,40333,0,0.515,,50925.0,70187.0,2,1.2246467991473532e-16,-1.0,3802316.5
90047,2021,5833369,8326.0,0,579075,0,16231,0.5533333333333333,,50925.0,70187.0,3,-1.0,-1.8369701987210297e-16,4316686.666666667
90048,2018,2753989,2337.46,0,0,0,0,0.27999999999999997,1.1960000000000002,20796.0,104227.0,0,0.0,1.0,0.0
90048,2019,3088409,2621.4,0,151200,0,0,0.24,1.177,20796.0,104227.0,1,1.0,6.123233995736766e-17,2753989.0
90048,2020,4849705,5038.0,0,20919,0,0,0.29833333333333334,,20796.0,104227.0,2,1.2246467991473532e-16,-1.0,2921199.0
90048,2021,5375846,5234.0,0,226810,0,0,0.3666666666666667,,20796.0,104227.0,3,-1.0,-1.8369701987210297e-16,3564034.3333333335
90049,2018,15431087,4392.26,354452,7899,0,0,1.526,1.131,36735.0,169898.0,0,0.0,1.0,0.0
90049,2019,16978759,4706.66,9722311,726067,822786,5000,1.2658333333333334,1.0775,36735.0,169898.0,1,1.0,6.123233995736766e-17,15431087.0
90049,2020,24287924,8916.0,0,269054,0,0,1.2116666666666667,,36735.0,169898.0,2,1.2246467991473532e-16,-1.0,16204923.0
90049,2021,28382316,9264.0,0,1602959,0,11781,1.2249999999999999,,36735.0,169898.0,3,-1.0,-1.8369701987210297e-16,18899256.666666668
90056,2018,1286076,929.37,0,286514,0,0,0.13699999999999998,2.346,8908.0,127252.0,0,0.0,1.0,0.0
90056,2019,1467684,997.27,0,867601,0,0,0.141,1.8969999999999998,8908.0,127252.0,1,1.0,6.123233995736766e-17,1286076.0
90056,2020,2153054,1647.0,23290,3700,20983,0,0.295,,8908.0,127252.0,2,1.2246467991473532e-16,-1.0,1376880.0
90056,2021,2328045,1658.0,0,413641,0,0,0.32166666666666666,,8908.0,127252.0,3,-1.0,-1.8369701987210297e-16,1635604.6666666667
90057,2018,265678,619.9,0,0,0,0,0.219,1.026,45548.0,44876.0,0,0.0,1.0,0.0
90057,2019,295156,759.3100000000001,0,200000,0,0,0.16299999999999998,1.03,45548.0,44876.0,1,1.0,6.123233995736766e-17,265678.0
90057,2020,448880,1401.0,0,28355,0,0,0.215,,45548.0,44876.0,2,1.2246467991473532e-16,-1.0,280417.0
90057,2021,500118,1516.0,0,108353,0,0,0.255,,45548.0,44876.0,3,-1.0,-1.8369701987210297e-16,336571.3333333333
90058,2018,48738,134.24,0,0,0,0,0.22,1.0975000000000001,3409.0,36680.0,0,0.0,1.0,0.0
90058,2019,38809,136.10999999999999,0,0,0,0,0.12000000000000001,1.0474999999999999,3409.0,36680.0,1,1.0,6.123233995736766e-17,48738.0
90058,2020,55382,182.0,0,22505,1416,0,0.20000000000000004,,3409.0,36680.0,2,1.2246467991473532e-16,-1.0,43773.5
90058,2021,59318,180.0,0,0,0,0,0.20166666666666666,,3409.0,36680.0,3,-1.0,-1.8369701987210297e-16,47643.0
90059,2018,1685176,3614.4900000000002,0,372184,0,0,0.348,1.812,38015.0,53840.0,0,0.0,1.0,0.0
90059,2019,1872156,3802.74,0,87538,0,0,0.32599999999999996,1.8079999999999998,38015.0,53840.0,1,1.0,6.123233995736766e-17,1685176.0
90059,2020,2481749,4843.0,7058,216151,33847,4830,0.3833333333333333,,38015.0,53840.0,2,1.2246467991473532e-16,-1.0,1778666.0
90059,2021,2696932,4811.0,0,781081,0,0,0.385,,38015.0,53840.0,3,-1.0,-1.8369701987210297e-16,2013027.0
90061,2018,1144045,2353.4700000000003,0,641618,0,0,0.086,1.5619999999999998,28478.0,60114.0,0,0.0,1.0,0.0
90061,2019,1249760,2439.52,191000,165996,0,0,0.11800000000000002,1.546,28478.0,60114.0,1,1.0,6.123233995736766e-17,1144045.0
