ZIP,Year,earned_premium,earned_exposure,cat_fire_losses,noncat_fire_losses,avg_fire_risk_score,task1a_qcrossformer_deep_task1a_deep_quantum_full2021_risk_2021,task1a_qcrossformer_deep_task1a_deep_quantum_full2021_risk_is_predicted,avg_ppc,total_population,median_income,premium_rolling_mean,year_sin,year_cos
90045,2020,6030965,7879.0,0,328625,0.3083333333333333,0.29249802,1,,42352.0,132577.0,3271689.5,1.2246467991473532e-16,-1.0
90045,2021,6647514,8085.0,0,179501,0.5099999999999999,0.29249802,1,,42352.0,132577.0,4191448.0,-1.0,-1.8369701987210294e-16
90046,2018,8694922,5699.28,0,471045,1.529,1.2570156,1,1.269,48905.0,94259.0,0.0,0.0,1.0
90046,2019,9910685,6381.63,0,480287,1.494,1.2570156,1,1.244,48905.0,94259.0,8694922.0,1.0,6.123233995736766e-17
90046,2020,14911402,11362.0,0,502505,1.2733333333333332,1.2570156,1,,48905.0,94259.0,9302803.5,1.2246467991473532e-16,-1.0
90046,2021,17496189,11984.0,161656,106644,1.275,1.2570156,1,,48905.0,94259.0,11172336.333333334,-1.0,-1.8369701987210294e-16
90047,2018,3580673,5844.96,0,341704,0.125,0.4011263,1,1.4075,50925.0,70187.0,0.0,0.0,1.0
90047,2019,4023960,6179.48,0,1132553,0.088,0.4011263,1,1.236,50925.0,70187.0,3580673.0,1.0,6.123233995736766e-17
90047,2020,5345427,8249.0,0,1004705,0.515,0.4011263,1,,50925.0,70187.0,3802316.5,1.2246467991473532e-16,-1.0
90047,2021,5833369,8326.0,0,579075,0.5533333333333333,0.4011263,1,,50925.0,70187.0,4316686.666666667,-1.0,-1.8369701987210294e-16
90048,2018,2753989,2337.46,0,0,0.2799999999999999,0.29968676,1,1.1960000000000002,20796.0,104227.0,0.0,0.0,1.0
90048,2019,3088409,2621.4,0,151200,0.24,0.29968676,1,1.177,20796.0,104227.0,2753989.0,1.0,6.123233995736766e-17
90048,2020,4849705,5038.0,0,20919,0.2983333333333333,0.29968676,1,,20796.0,104227.0,2921199.0,1.2246467991473532e-16,-1.0
90048,2021,5375846,5234.0,0,226810,0.3666666666666667,0.29968676,1,,20796.0,104227.0,3564034.333333333,-1.0,-1.8369701987210294e-16
90049,2018,15431087,4392.26,354452,7899,1.526,1.1670002,1,1.131,36735.0,169898.0,0.0,0.0,1.0
90049,2019,16978759,4706.66,9722311,726067,1.2658333333333334,1.1670002,1,1.0775,36735.0,169898.0,15431087.0,1.0,6.123233995736766e-17
90049,2020,24287924,8916.0,0,269054,1.211666666666667,1.1670002,1,,36735.0,169898.0,16204923.0,1.2246467991473532e-16,-1.0
90049,2021,28382316,9264.0,0,1602959,1.225,1.1670002,1,,36735.0,169898.0,18899256.666666668,-1.0,-1.8369701987210294e-16
90056,2018,1286076,929.37,0,286514,0.1369999999999999,0.28040427,1,2.346,8908.0,127252.0,0.0,0.0,1.0
90056,2019,1467684,997.27,0,867601,0.141,0.28040427,1,1.897,8908.0,127252.0,1286076.0,1.0,6.123233995736766e-17
90056,2020,2153054,1647.0,23290,3700,0.295,0.28040427,1,,8908.0,127252.0,1376880.0,1.2246467991473532e-16,-1.0
90056,2021,2328045,1658.0,0,413641,0.3216666666666666,0.28040427,1,,8908.0,127252.0,1635604.6666666667,-1.0,-1.8369701987210294e-16
90057,2018,265678,619.9,0,0,0.219,0.24847925,1,1.026,45548.0,44876.0,0.0,0.0,1.0
90057,2019,295156,759.3100000000001,0,200000,0.1629999999999999,0.24847925,1,1.03,45548.0,44876.0,265678.0,1.0,6.123233995736766e-17
90057,2020,448880,1401.0,0,28355,0.215,0.24847925,1,,45548.0,44876.0,280417.0,1.2246467991473532e-16,-1.0
90057,2021,500118,1516.0,0,108353,0.255,0.24847925,1,,45548.0,44876.0,336571.3333333333,-1.0,-1.8369701987210294e-16
90058,2018,48738,134.24,0,0,0.22,0.23657656,1,1.0975,3409.0,36680.0,0.0,0.0,1.0
90058,2019,38809,136.11,0,0,0.12,0.23657656,1,1.0475,3409.0,36680.0,48738.0,1.0,6.123233995736766e-17
90058,2020,55382,182.0,0,22505,0.2,0.23657656,1,,3409.0,36680.0,43773.5,1.2246467991473532e-16,-1.0
90058,2021,59318,180.0,0,0,0.2016666666666666,0.23657656,1,,3409.0,36680.0,47643.0,-1.0,-1.8369701987210294e-16
90059,2018,1685176,3614.49,0,372184,0.348,0.3603861,1,1.812,38015.0,53840.0,0.0,0.0,1.0
90059,2019,1872156,3802.74,0,87538,0.3259999999999999,0.3603861,1,1.808,38015.0,53840.0,1685176.0,1.0,6.123233995736766e-17
90059,2020,2481749,4843.0,7058,216151,0.3833333333333333,0.3603861,1,,38015.0,53840.0,1778666.0,1.2246467991473532e-16,-1.0
